barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
5953;2018-08-07;;FING;;;30;FING;"Biomedical signal analysis :";"Rangayyan, Rangaraj M.";0471208116
5961;2018-08-07;;FING;;;20;FING;"Fundamentos de bases de datos.";"Silberschatz, Abraham";8448146441
5963;2018-08-07;;FING;;;32;FING;"New approaches in classification and data analysis.";"Diday, E.";3540584250
5964;2018-08-07;;FING;;;35;FING;"Mecánica de los fluidos :";"Di Paolo, José";9789872923501
5966;2018-08-07;;FING;;;99;FING;"Currículo do povo que educa :";"Pini, Francisca Rodrigues de Oliveira";9788561910860
5968;2018-08-07;;FING;;;99;FING;"Currículo do povo que educa :";"Pini, Francisca Rodrigues de Oliveira";9788561910884
5969;2018-08-07;;FING;;;50;FING;"Organizing your job in management.";"Heyel, Carl";
5970;2018-08-07;;FING;;;50;FING;"Leadership on the job :";"Hall, Alnos";
5977;2018-08-07;;FING;;;38;FING;"Curso industrial de mantenimiento preventivo.";"Calloni, Juan Carlos";9505530145
5979;2018-08-07;;FING;;;42;FING;"Bioingenieria en la cirugía de la insuficiencia cardíaca.";"Cabrera Fischer, Edmundo I.";
5981;2018-08-07;;FING;;;32;FING;"The nonlinear workbook.";"Steeb, Willi-Hans";9789812818539
5987;2018-08-07;;FING;;;30;FING;"Vector quantization.";"Abut, Hüseyin";0879422653
5988;2018-08-07;;FING;;;42;FING;"Cochlear implants :";"Clark, Graeme";0387955836
5989;2018-08-07;;FING;;;45;FING;"Clinical radiotherapy physics.";"Jayaraman, Subramania";3540402845
5991;2018-08-07;;FING;;;34;FING;Fotoelasticimetría.;"Solaguren-Beascoa Fernández, Manuel";9788492681419
5992;2018-08-07;;FING;;;63;FING;"Anuario 2012.2013.";;
