barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
3803;2018-08-07;;FING;;;1;FING;Biología.;"Curtis, Helena";950060423X
3804;2018-08-07;;FING;;;1;FING;Biología.;"Curtis, Helena";950060423X
3805;2018-08-07;;FING;;;1;FING;Biología.;"Curtis, Helena";950060423X
4677;2018-08-07;;FING;;;1;FING;Biología.;"Curtis, Helena";950060423X
4678;2018-08-07;;FING;;;1;FING;Biología.;"Curtis, Helena";950060423X
4910;2018-08-07;;FING;;;1;FING;Biología.;"Curtis, Helena";950060423X
5622;2018-08-07;;FING;;;1;FING;Biología.;"Curtis, Helena";950060423X
1448;2018-08-07;;FING;;;13;FING;"Exploratium cookbook II :";"Hipschman, Ron";
3806;2018-08-07;;FING;;;44;FING;"P.V.C. hechos y realidades.";;
3809;2018-08-07;;FING;;;38;FING;"Mantenimiento de edificios para la salud.";"Benaim, Salvador";
3812;2018-08-07;;FING;;;38;FING;"Mantenimiento de edificios para la salud.";"Benaim, Salvador";
3959;2018-08-07;;FING;;;38;FING;"Mantenimiento de edificios para la salud.";"Benaim, Salvador";
145;2018-08-07;;FING;;;11;FING;"Fundamentos de Física.";"Halliday, David";9682606454
3814;2018-08-07;;FING;;;7;FING;"Iontoforesis actual.";"Reich, Cristian F.";9506980667
3815;2018-08-07;;FING;;;7;FING;"Iontoforesis actual.";"Reich, Cristian F.";9506980667
3818;2018-08-07;;FING;;;29;FING;"[Soldering in SMD technology].";"Maiwald, Werner";
3819;2018-08-07;;FING;;;40;FING;"Desarrollo y fortalecimiento de los sistemas locales de salud en la tranformación de los sistemas nacionales de salud :";;927532087X
3820;2018-08-07;;FING;;;40;FING;"Desarrollo y fortalecimiento de los sistemas locales de salud en la tranformación de los sistemas nacionales de salud :";;927532087X
3829;2018-08-07;;FING;;;80;FING;"Compendio de medicamentos de elección.";"Abramowicz, Mark";
3830;2018-08-07;;FING;;;80;FING;"Compendio de medicamentos de elección.";"Abramowicz, Mark";
3827;2018-08-07;;FING;;;80;FING;"Manual de terapeútica.";"González Agudelo, Marco Antonio";
3823;2018-08-07;;FING;;;40;FING;"Desarrollo y fortalecimiento de los sistemas locales de salud en la tranformación de los sistemas nacionales de salud :";;9275320896
3824;2018-08-07;;FING;;;40;FING;"Desarrollo y fortalecimiento de los sistemas locales de salud en la tranformación de los sistemas nacionales de salud :";;9275320896
3822;2018-08-07;;FING;;;40;FING;"Desarrollo y fortalecimiento de los sistemas locales de salud en la tranformación de los sistemas nacionales de salud :";;9275321779
3833;2018-08-07;;FING;;;7;FING;"Conozca la depresión y enfréntela :";;
3831;2018-08-07;;FING;;;40;FING;"Mortalidad infantil.Un indicador para la gestión local :";"Spinelli, Hugo";9507100679
3832;2018-08-07;;FING;;;40;FING;"Mortalidad infantil.Un indicador para la gestión local :";"Spinelli, Hugo";9507100679
3834;2018-08-07;;FING;;;57;FING;"Comunicaciones en Argentina :";"Echevarría, Oscar";
3020;2018-08-07;;FING;;;59;FING;"Comunicación y cárcel :";"Rubano, María del Carmen";9506980101
1110;2018-08-07;;FING;;;59;FING;"El salto tecnológico.";"Vetcher, David J.";9502507029
1908;2018-08-07;;FING;;;59;FING;"La política de investigación científica y tecnológica argentina :";"Oteiza, Enrique";9502513487
2137;2018-08-07;;FING;;;50;FING;"Camino moderno al desarrollo :";"Ramírez Rebolledo, Guillermo";
2231;2018-08-07;;FING;;;49;FING;"Transferencia de tecnología norte-sur :";"Cortés, Mariluz";9688881066
3835;2018-08-07;;FING;;;54;FING;Resúmenes.;;
3836;2018-08-07;;FING;;;59;FING;"El Consejo para la Promoción de la Investigación Científica y Tecnológica [COPICyT].";;
2148;2018-08-07;;FING;;;50;FING;"Gestión tecnológica en la empresa.";;
1900;2018-08-07;;FING;;;54;FING;"La profesión de ingeniero.";"Sobrevila, Marcelo Antonio";9505031572
220;2018-08-07;;FING;;;41;FING;"L'ingénierie, c'est  l'engineering.";"Gompel-Netter, Didier";
3837;2018-08-07;;FING;;;59;FING;"<mil novecientos noventa y cuatro = 1994>Producción en ciencia y tecnología.";;
3838;2018-08-07;;FING;;;54;FING;"Estudio de la Universidad Nacional de Mar del Plata :";;
